CONSOLIDATED STATEMENTS OF OPERATIONS (USD $),12 Months Ended,,
"In Thousands, except Per Share data, unless otherwise specified","Dec. 31, 2014","Dec. 31, 2013","Dec. 31, 2012"
Income Statement [Abstract],,,
Revenue,"$1,403,002 ","$664,890 ","$316,933 "
Costs and expenses,,,
Cost of revenue,"446,309","266,718","128,768"
Research and development,"691,543","593,992","119,004"
Sales and marketing,"614,110","316,216","86,551"
General and administrative,"189,906","123,795","59,693"
Total costs and expenses,"1,941,868","1,300,721","394,016"
Loss from operations,"-538,866","-635,831","-77,083"
"Interest income (expense), net","-33,985","-6,860","-2,486"
"Other income (expense), net","-5,500","-4,455",399
Loss before income taxes,"-578,351","-647,146","-79,170"
Provision (benefit) for income taxes,-531,"-1,823",229
Net loss,"($577,820)","($645,323)","($79,399)"
Net loss per share attributable to common stockholders:,,,
Basic,($0.96),($3.41),($0.68)
Diluted,($0.96),($3.41),($0.68)
Weighted-average shares used to compute net loss per share attributable to common stockholders:,,,
Basic,"604,990","189,510","117,401"
Diluted,"604,990","189,510","117,401"
