"CONSOLIDATED STATEMENTS OF REDEEMABLE CONVERTIBLE PREFERRED STOCK, CONVERTIBLE PREFERRED STOCK AND STOCKHOLDERS' EQUITY (DEFICIT) (USD $)",Total,Redeemable Convertible Preferred Stock,Convertible Preferred Stock,Common Stock,Common Stock,Common Stock,Additional Paid-in Capital,Accumulated Other Comprehensive Loss,Accumulated Deficit,
"In Thousands, except Share data",USD ($),USD ($),USD ($),USD ($),Redeemable Convertible Preferred Stock,Convertible Preferred Stock,USD ($),USD ($),USD ($),
,,,,,,USD ($),,,,
"Balance, beginning of period at Dec. 31, 2011",,49,835073,1,,,68097,-32,-269904,
"Balance, beginning of period, shares at Dec. 31, 2011",,135000,329575000,118967000,,,,,,
Issuance of stock in connection with acquisitions,,37057,,,,,12399,,,
"Issuance of stock in connection with acquisitions, shares",,2742000,,674000,,,,,,
"Issuance of restricted stock to employees in connection with acquisitions, shares",,704000,,,,,,,,
"Forfeiture of restricted stock, shares",,-12000,,,,,,,,
Series G convertible preferred stock issuance cost adjustment,,,357,,,,,,,
Stock-based compensation for restricted stock issued in connection with acquisitions,,,,,,,3815,,,
"Stock-based compensation for restricted stock issued in connection with acquisitions, shares",,,,903000,,,,,,
Exercise of stock options,,,,,,,2317,,,
"Exercise of stock options, shares",,,,5577000,,,,,,
"Other activities, shares",,,,-524000,,,,,,
Stock-based compensation,,,,,,,14052,,,
Other activities,,,,,,,1107,,,
Other comprehensive income (loss),-625,,,,,,,-625,,
Net loss,-79399,,,,,,,,-79399,
"Balance, end of period at Dec. 31, 2012",-248172,37106,835430,1,,,101787,-657,-349303,
"Balance, end of period, shares at Dec. 31, 2012",125597000,3569000,329575000,125597000,,,,,,
Issuance of stock in connection with acquisitions,,,,,,,335913,,,
"Issuance of stock in connection with acquisitions, shares",,,,17665000,,,,,,
"Forfeiture of restricted stock, shares",,-45000,,,,,,,,
Conversion of preferred stock to common stock,,-37106,-835430,,,2,872534,,,
"Conversion of preferred stock to common stock, shares",,-3524000,-329575000,,3524000,329575000,,,,
Stock-based compensation for restricted stock issued in connection with acquisitions,,,,,,,31708,,,
"Stock-based compensation for restricted stock issued in connection with acquisitions, shares",,,,5775000,,,,,,
Exercise of stock options,,,,,,,8751,,,
"Exercise of stock options, shares",,,,7408000,,,,,,
Issuance of common stock upon initial public offering,,,,,,,2019741,,,
"Issuance of common stock upon initial public offering, shares",,,,80500000,,,,,,
"Other activities, shares",,,,-122000,,,,,,
Shares withheld related to net share settlement of equity awards,,,,,,,-14637,,,
Stock-based compensation,,,,,,,564440,,,
Reclassification of preferred stock liability and preferred stock warrant liability to additional paid-in capital,,,,,,,24241,,,
Other activities,,,,,,,474,,,
Other comprehensive income (loss),334,,,,,,,334,,
Net loss,-645323,,,,,,,,-645323,
"Balance, end of period at Dec. 31, 2013",2950006,,,3,,,3944952,-323,-994626,
"Balance, end of period, shares at Dec. 31, 2013",569922000,,,569922000,,,,,,
Issuance of stock in connection with acquisitions,,,,,,,147958,,,
"Issuance of stock in connection with acquisitions, shares",,,,3326000,,,,,,
"Issuance of common stock in connection with RSU vesting, shares",,,,42748000,,,,,,
Stock-based compensation for restricted stock issued in connection with acquisitions,,,,,,,63880,,,
"Stock-based compensation for restricted stock issued in connection with acquisitions, shares",,,,2337000,,,,,,
Exercise of stock options,,,,,,,28881,,,
"Exercise of stock options, shares",22447000,,,22447000,,,,,,
Issuance of common stock upon purchases under employee stock purchase plan,,,,,,,42402,,,
"Issuance of common stock upon purchases under employee stock purchase plan, shares",1900000,,,1887000,,,,,,
Issuance of common stock upon initial public offering,,,,,,,-240,,,
"Shares withheld related to net share settlement of equity awards, shares",,,,-307000,,,,,,
"Other activities, shares",,,,25000,,,,,,
Shares withheld related to net share settlement of equity awards,,,,,,,-17053,,,
Stock-based compensation,,,,,,,608491,,,
"Equity component of the convertible note issuance, net",100,,,,,,505982,,,
Purchase of convertible note hedge,,,,,,,-407169,,,
Issuance of warrants,,,,,,,289272,,,
Other activities,,,,,,,1514,,,
Other comprehensive income (loss),-9701,,,,,,,-9701,,
Net loss,-577820,,,,,,,,-577820,
"Balance, end of period at Dec. 31, 2014",3626403,,,3,,,5208870,-10024,-1572446,
"Balance, end of period, shares at Dec. 31, 2014",642385000,,,642385000,,,,,,
